dump-trucks_730e-8,dump-trucks_730e-8_SPECS-1,dump-trucks_830e-1ac,dump-trucks_830e-1ac_SPECS-1,dump-trucks_830e-5,dump-trucks_830e-5_SPECS-1,dump-trucks_930e-4se,dump-trucks_930e-4se_SPECS-1,dump-trucks_930e-5,dump-trucks_930e-5_SPECS-1,dump-trucks_980e-4,dump-trucks_980e-4_SPECS-1,dump-trucks_hd1500-8,dump-trucks_hd1500-8_SPECS-1,dump-trucks_hd405-7,dump-trucks_hd405-7_SPECS-1,dump-trucks_hd405-8,dump-trucks_hd405-8_SPECS-1,dump-trucks_hd605-7e0,dump-trucks_hd605-7e0_SPECS-1,dump-trucks_hd605-8,dump-trucks_hd605-8_SPECS-1,dump-trucks_hd785-7,dump-trucks_hd785-7_SPECS-1,dump-trucks_hm300-5,dump-trucks_hm300-5_SPECS-1,dump-trucks_hm400-5,dump-trucks_hm400-5_SPECS-1
Engine | Model,Komatsu SSDA16V159-E2,Engine | Model,Komatsu SDA16V160,Engine | Model,Komatsu SDA16V160,Engine | Model,Komatsu SSDA18V170,Engine | Model,Komatsu SSDA16V160,Engine | Model,Komatsu SSDA18V170,Engine | Model,Komatsu SDA16V159E-3,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SAA6D140E-7,Engine | Model,Komatsu SAA6D170E-5,Engine | Model,Komatsu SAA6D170E-7,Engine | Model,Komatsu SAA12V140E-3,Engine | Model,Komatsu SAA6D125E-7,Engine | Model,Komatsu SAA6D140E-7
Engine | Fuel,Diesel,Engine | Fuel,Diesel,Engine | Fuel,Diesel,Engine | Fuel,Diesel,Engine | Fuel,Diesel,Engine | Fuel,Diesel,Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection"
Engine | Number of cylinders,16,Engine | Number of cylinders,16,Engine | Number of cylinders,16,Engine | Number of cylinders,18,Engine | Number of cylinders,16,Engine | Number of cylinders,18,Engine | Aspiration,"Turbo-charged, after-cooled",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR"
Engine | Operating Cycle,4 cycle,Engine | Operating Cycle,4 cycle,Engine | Operating Cycle,4 cycle,Engine | Operating Cycle,4 cycle,Engine | Operating Cycle,4 cycle,Engine | Operating Cycle,4 cycle,Engine | Number of cylinders,16,Engine | Number of cylinders,6,Engine | Number of cylinders,6,Engine | Number of cylinders,6,Engine | Number of cylinders,6,Engine | Number of cylinders,12,Engine | Number of cylinders,6,Engine | Number of cylinders,6
"Engine | Horsepower, Gross",1492 kW / 2000 HP,"Engine | Horsepower, Gross",1865 kW / 2500 HP,"Engine | Horsepower, Gross",1865 kW / 2500 HP,"Engine | Horsepower, Gross",2611 kW / 3500 HP,"Engine | Horsepower, Gross",2014 kW / 2700 HP,"Engine | Horsepower, Gross",2610 kW / 3500 HP,Engine | Bore x stroke,159 mm x 159 mm,Engine | Bore x stroke,140 mm x 165 mm,Engine | Bore x stroke,140 mm x 165 mm,Engine | Bore x stroke,170 mm x 170 mm,Engine | Bore x stroke,170 mm x 170 mm,Engine | Bore x stroke,140 mm x 165 mm,Engine | Bore x stroke,125 mm x 150 mm,Engine | Bore x stroke,140 mm x 165 mm
"Engine | Horsepower, Net",1405 kW / 1884 HP,"Engine | Horsepower, Net",1761 kW / 2360 HP,"Engine | Horsepower, Net",1778 kW / 2385 HP,"Engine | Horsepower, Net",2495 kW / 3346 HP,"Engine | Horsepower, Net",1902 kW / 2550 HP,"Engine | Horsepower, Net",2495 kW / 3346 HP,Engine | Displacement,50.3 ltr,Engine | Displacement,15.24 ltr,Engine | Displacement,15.24 ltr,Engine | Displacement,23.15 ltr,Engine | Displacement,23.15 ltr,Engine | Displacement,30.48 ltr,Engine | Displacement,11.0 ltr,Engine | Displacement,15.24 ltr
Engine | Rated RPM,1900,Engine | Rated RPM,1900,Engine | Rated RPM,1800,Engine | Rated RPM,1900,Engine | Rated RPM,1900,Engine | Rated RPM,1900,"Engine | Horsepower, Gross - SAE J1995",1175 kW / 1576 HP,"Engine | Horsepower, Gross - SAE J1995",386 kW / 518 HP,"Engine | Horsepower, Gross - SAE J1995",386 kW / 518 HP,"Engine | Horsepower, Gross - SAE J1995",551 kW / 739 HP,"Engine | Horsepower, Gross - SAE J1995",578 kW / 775 HP,"Engine | Horsepower, Gross - SAE J1995",895 kW / 1200 HP,"Engine | Horsepower, Gross - SAE J1995",248 kW / 332 HP,"Engine | Horsepower, Gross - SAE J1995",353 kW / 473 HP
"Body | Standard Capacity, heaped (2:1 SAE)",111 m3,Engine | Weight (wet),9608 kg,"Body | Standard Capacity, heaped (2:1 SAE)",158 m3,Engine | Weight (wet),10100 kg,Engine | Weight (wet),9608 kg,Engine | Weight (wet),11750 kg,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",1103 kW / 1479 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",371 kW / 498 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",383 kW / 514 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",533 kW / 715 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",540 kW / 724 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",879 kW / 1178 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",242 kW / 324 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",348 kW / 466 HP
Body | Body weight,28169 kg,"Body | Capacity, struck",117 m3,Body | Body weight,29830 kg,"Body | Capacity, heaped (2:1 SAE)",211 m3,"Body | Capacity, struck",171 m3,Engine | Weight (dry),11250 kg,Engine | Rated RPM,1900,Engine | Rated RPM,2000,Engine | Rated RPM,2000,Engine | Rated RPM,2000,Engine | Rated RPM,2000,Engine | Rated RPM,1900,Engine | Rated RPM,2000,Engine | Rated RPM,2000
Braking System | Standard,ISO3450/1996,"Body | Capacity, heaped (2:1 SAE)",147 m3,Braking System | Standard,ISO3450/1996,Body | Body weight,30362 kg,"Body | Capacity, heaped (2:1 SAE)",211 m3,"Body | Capacity, heaped (2:1 SAE)",250 m3,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic
Braking System | Service brake - front,"Hydraulically actuated, wheel speed disc, three calipers on a 1213mm O.D. disc",Body | Body weight,27669 kg,Braking System | Service brake - front,"Hydraulically actuated, wheel speed disc, three calipers on a 1213mm O.D. disc",Braking System | Max. service apply pressure,17237 kPa,Body | Body weight,30362 kg,Body | Body weight,41731 kg,Axles | Rear axle,Full-floating,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 2,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 4 Final
Braking System | Service brake - rear,"Hydraulically actuated, dual disc armature speed, two 635 mm O.D. discs per side, one caliper per disc",Braking System | Standard,ISO3450/1996,Braking System | Service brake - rear,"Hydraulically actuated, two 635 mm O.D. discs per side, one caliper per disc",Braking System | Total friction area per brake,97025 cm2,Braking System | Max. service apply pressure,17237 kPa,Braking System | Max. service apply pressure,18960 kPa,Axles | Final drive type,Planetary gear,Axles | Rear axle,Full-floating,Axles | Rear axle,Full-floating,Axles | Rear axle,Full-floating,Axles | Rear axle,Full-floating,Axles | Rear axle,Full-floating,Axles | Final drive type,Planetary gear,Axles | Final drive type,Planetary gear
Braking System | Emergency brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements,Braking System | Service brake - front,"Hydraulically actuated, wheel speed disc, three calipers on a 1213mm O.D. disc",Braking System | Emergency brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements,Braking System | Service brakes,"Oil-cooled, hydraulically actuated, multiple disc brakes at each wheel. Traction system wheel slip/slide control",Braking System | Total friction area per brake,97025 cm2,Braking System | Total friction area per brake,103729 cm2,Axles | Ratios:,,Axles | Final drive type,Planetary gear,Axles | Final drive type,Planetary gear,Axles | Final drive type,Planetary gear,Axles | Final drive type,Planetary gear,Axles | Final drive type,Planetary gear,Axles | Ratios:,,Axles | Ratios:,
Braking System | Wheel brake locks,Switch-activated,Braking System | Service brake - rear,"Hydraulically actuated, dual disc armature speed, two 635 mm O.D. discs per side, one caliper per disc",Braking System | Wheel brake locks,Switch-activated,Braking System | Secondary brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements,Braking System | Service brakes,"Oil-cooled, hydraulically actuated, multiple disc brakes at each wheel. Traction system wheel spin control",Braking System | Traction system,Wheel Spin-Side Control,Axles | Differential,1.720,Axles | Ratios:,,Axles | Ratios:,,Axles | Ratios:,,Axles | Ratios:,,Axles | Ratios:,,Axles | Differential,3.154,Axles | Differential,3.727
Braking System | Parking brakes,"Spring-applied, hydraulically released, with speed application protection",Braking System | Emergency brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements,Braking System | Parking brakes,"Multiple disc, spring-applied, hydraulically released, dry brakes on inboard end of each wheel motor rotor shaft.",Braking System | Wheel brake locks,Switch-activated,Braking System | Secondary brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements,Braking System | Service brakes,"Oil-cooled, hydraulic actuated, multiple disc brakes at each wheel",Axles | Planetary,11.482,Axles | Differential,3.125,Axles | Differential,3.125,Axles | Differential,3.538,Axles | Differential,3.538,Axles | Differential,3.357,Axles | Planetary,4.667,Axles | Planetary,4.941
Braking System | Electric dynamic retarder (max.),2387 kW / 3200 HP. Continuously rated high-density blown grids with retard at engine idle and retard in reverse propulsion,Braking System | Wheel brake locks,Switch-activated,Braking System | Electric dynamic retarder (max.),3207 kW / 4300 HP,Braking System | Parking brakes,"Multiple disc, spring-applied, hydraulically released, dry brakes on inboard end of each wheel motor rotor shaft. Rated to hold on ±15% grade at maximum gross vehicle weight.",Braking System | Wheel brake locks,Switch-activated,Braking System | Secondary brakes,Automatically applied prior to hydraulic system pressure dropping below level required to meet secondary stopping requirements. Meets ISO3450,"Body | Capacity, struck",50 m3,Axles | Planetary,4.737,Axles | Planetary,5.211,Axles | Planetary,4.737,Axles | Planetary,4.737,Axles | Planetary,6.333,"Body | Capacity, struck",12.4 m3,"Body | Capacity, struck",18.2 m3
Cab | Standard,ISO3471 (ROPS)  ISO3449 (FOPS),Braking System | Parking brakes,"Spring-applied, hydraulically released, with speed application protection",Cab | Standard,ISO3449 (ROPS)  ISO3449 (FOPS),Braking System | Electric dynamic retarder (max.),4026 kW / 5400 HP. Continuously rated high-density blown grids with retard at engine idle and retard in reverse propulsion,Braking System | Parking brakes,"Multiple disc, spring-applied, hydraulically released, dry brakes on inboard end of each wheel motor rotor shaft. Rated to hold on ±15% grade at maximum gross vehicle weight.",Braking System | Wheel brake locks,Switch-activated,"Body | Capacity, heaped (2:1 SAE)",78 m3,"Body | Capacity, struck",20 m3,"Body | Capacity, struck",20 m3,"Body | Capacity, struck",29.0 m3,"Body | Capacity, struck",29.0 m3,"Body | Capacity, struck",40 m3,"Body | Capacity, heaped (2:1 SAE)",17.1 m3,"Body | Capacity, heaped (2:1 SAE)",24 m3
Cooling System | Radiator frontal area,4.65 m2,Braking System | Electric dynamic retarder (max.),2983 kW / 4000 HP. Continuously rated high-density blown grids with retard at engine idle and retard in reverse propulsion,Cooling System | Radiator frontal area,6.24 m2,Cab | Standard,ISO3471 (ROPS)  ISO3449 (FOPS),Braking System | Electric dynamic retarder (max.),4026 kW / 5400 HP. Continuously rated high-density blown grids with retard at engine idle and retard in reverse propulsion,Braking System | Parking brakes,"Multiple disc, spring-applied, hydraulically released, dry brakes on inboard end of each wheel motor rotor shaft. Rated to hold on ±15% grade at maximum gross vehicle weight.",Body | Payload,141700 kg,"Body | Capacity, heaped (2:1 SAE)",27.3 m3,"Body | Capacity, heaped (2:1 SAE)",24 m3,"Body | Capacity, heaped (2:1 SAE)",40.0 m3,"Body | Capacity, heaped (2:1 SAE)",40.0 m3,"Body | Capacity, heaped (2:1 SAE)",60 m3,Body | Payload,28000 kg,Body | Payload,40000 kg
